,id,left,top,right,bottom,CCTV수,교차로수,주차면수,N버스_노선개수,지하철역수,가게면적,음주사고수,index_dt,index_rf,index_gbm,y_pred_dt,y_pred_rf,y_pred_gbm
124,5476,206858.2087,443881.686,206958.2087,443781.686,0.0,0.0,0,0,0,935.35,0,0.020791755395605113,0.02481515372417365,0.027025469179987435,1,1,1
125,5477,206858.2087,443781.686,206958.2087,443681.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
126,5496,206858.2087,441881.686,206958.2087,441781.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
127,5497,206858.2087,441781.686,206958.2087,441681.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
128,5490,206858.2087,442481.686,206958.2087,442381.686,1.0,0.0,0,0,0,0.0,0,-0.02602201333298365,-0.012309867989017547,-0.02423809196903174,1,1,1
129,5491,206858.2087,442381.686,206958.2087,442281.686,1.0,0.0,0,0,0,0.0,0,-0.02602201333298365,-0.012309867989017547,-0.02423809196903174,1,1,1
130,5488,206858.2087,442681.686,206958.2087,442581.686,2.0,0.0,0,0,0,0.0,0,-0.0520440266659673,-0.024619735978035094,-0.04847618393806348,1,1,1
131,5489,206858.2087,442581.686,206958.2087,442481.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
132,5494,206858.2087,442081.686,206958.2087,441981.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
133,5495,206858.2087,441981.686,206958.2087,441881.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
134,5492,206858.2087,442281.686,206958.2087,442181.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
135,5493,206858.2087,442181.686,206958.2087,442081.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
136,5467,206858.2087,444781.686,206958.2087,444681.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
137,5470,206858.2087,444481.686,206958.2087,444381.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
138,5471,206858.2087,444381.686,206958.2087,444281.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
139,5468,206858.2087,444681.686,206958.2087,444581.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
140,5469,206858.2087,444581.686,206958.2087,444481.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
141,5408,206758.2087,441781.686,206858.2087,441681.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
142,5409,206758.2087,441681.686,206858.2087,441581.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
143,5386,206758.2087,443981.686,206858.2087,443881.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
144,5387,206758.2087,443881.686,206858.2087,443781.686,2.0,0.0,0,0,0,0.0,0,-0.0520440266659673,-0.024619735978035094,-0.04847618393806348,1,1,1
145,5384,206758.2087,444181.686,206858.2087,444081.686,1.0,0.0,0,0,0,0.0,0,-0.02602201333298365,-0.012309867989017547,-0.02423809196903174,1,1,1
146,5385,206758.2087,444081.686,206858.2087,443981.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
147,5390,206758.2087,443581.686,206858.2087,443481.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
148,5391,206758.2087,443481.686,206858.2087,443381.686,4.0,1.0,0,0,0,0.0,0,0.004458313291224342,0.04803739072211917,-0.011622415954362308,1,1,1
149,5388,206758.2087,443781.686,206858.2087,443681.686,0.0,1.0,0,0,0,234.09,0,0.11374991825683319,0.10348735002013816,0.0920936148076825,1,1,1
150,5389,206758.2087,443681.686,206858.2087,443581.686,2.0,0.0,0,0,0,0.0,0,-0.0520440266659673,-0.024619735978035094,-0.04847618393806348,1,1,1
